Sentence Utterance,Action,Object
เดือนนี้ ผมติด ระงับสัญญาณไป ประมาณ 5 วัน ตรงนี้จะมีการลดในส่วนของค่าบริการไปมั้ยครับเพราะใช้ เซอร์วิสต่าง ๆ ไม่ได้เลย ทั้ง บีบี แล้วก้อ เอสเอ็มเอส,enquire,balance
เดือนนี้ มี ยอดเรียกเก็บเท่าไหร่ และต้องจ่ายขั้นต่ำเท่าไหร่,enquire,balance
เดือนนี้โทรเกินมา 900 กว่าบาทอยากทราบว่ามันเกินในส่วนไหนบ้าง,enquire,balance
เดือนนี้ชำระขั้นต่ำเท่าไหร่,enquire,payment
เดือนนี้ต้อง จ่าย ชำระ เท่าไรค่ะ ยังไม่เห็นมี บิล เลย,enquire,bill
เดือนนี้ต้องจ่ายชำระเป็นเงินเท่าไร ยังไม่เห็นบิล,enquire,balance
เดือนนี้ผมยังไม่ได้รับใบแจ้งหนี้เลยครับ,enquire,bill
เดือนนี้มียอดค้างชำระไหมค่ะ,enquire,balance
เดือนละ 150 บาทเล่นได้ทั้งวันหรือเปล่า,enquire,package
เติม wifi 30 วัน แต่ตอนนี้ยังใช้งานไม่ได้ ขึ้น error ,enquire,internet
เติม ทรูมันนี่ รหัสผิด 3 ครั้งอ่ะครับ,enquire,TrueMoney
เติมเงิน 500 บาททำไมเงินไม่เข้าค่ะ,enquire,payment
เติมเงิน เข้าไปในเครื่อง จะ เติมเป็น ค่าโทร แต่มันเข้าไปใน ทรูมันนี่ อ่ะค่ะ,enquire,TrueMoney
เติมเงิน ผ่านตู้ ออนไลน์ ไม่ได้ อยากจะเช็คว่าเป็นเบอร์ ทรูมันนี่หรือเปล่า ,enquire,TrueMoney
เติมเงินเข้า ต่อโปร internet อยากรู้ว่าตัดยอดหรือยัง,enquire,balance
เติมเงินเข้า *789 แต่มันไม่เข้าค่ะ,enquire,payment
เติมเงินเข้าในทรูมันนี่เข้าครับ,enquire,truemoney
เติมเงินเข้าไป,enquire,payment
เติมเงินเข้าไป แต่ดูไม่ได้ค่ะ,enquire,payment
เติมเงินเข้าไปแล้ว 1000 บาทวันที่ 29 บริการอินเตอร์เน็ตมันใช้การไม่ได้ เติมบนแอร์การ์ด ,report,phone_issues
เติมเงินเข้าไปแล้ว โปรโมชั่น ใช้3จี 399 ค่ะ ระบบยังไม่ปรับยอดเงินให้,enquire,payment
เติมเงินเข้าไปแล้ว ยังดูทีวีไม่ได้,garbage,garbage
เติมเงินเข้าไปสองร้อย แล้วมันมีบิ๊กโบนัส เข้าไป 600 ได้มาจากอะไรอะค่ะ,enquire,payment
เติมเงินเข้าบัญชีทรูมันนี่แล้วไม่เข้าครับ,enquire,truemoney
เติมเงินเข้าบัญชีทรูมันนี่ไม่ได้ครับ,enquire,truemoney
เติมเงินเข้าบัญชีทรูมันนี่ค่ะ เพื่อที่จะดูช่องได้ 1 ช่อง เติม 90 บาท แต่มันส่งข้อความกลับมาว่าไม่สามารถดำเนินการได้ค่ะ,enquire,truemoney
เติมเงินเข้ามือถือ เล่นอินเตอร์เนตไม่ถึง 15 นาที มันก็หมดแล้ว อยากรู้ว่าใช้โปรอะไรอยู่ค่ะ,enquire,package
เติมเงินเข้ามือถือตั้งแต่เมื่อวานแล้วแต่ยังไม่เข้าค่ะ,enquire,payment
เติมเงินเน็ตไปมันไม่เข้าครับ,enquire,internet
เติมเงินเมื่อตอนเย็นมันไม่เข้าอ่ะ,enquire,payment
เติมเงินแบบเติมเงินหน่ะค่ะ แล้วกดเลขผิด แล้วเค้าปฎิเสธเลย เค้าบอกว่าเราใช้พินตัวนี้แล้ว ยังไม่ได้ใช้เลยค่ะ เพิ่งซื้อมาเมื่อคืน,enquire,payment
เติมเงินแล้วเงินไม่เข้า,enquire,payment
เติมเงินแล้วเงินไม่เข้าครับ,enquire,Payment
เติมเงินแล้วขึ้น sorry ตลอดเลยครับ,enquire,payment
เติมเงินแล้วผิดหน่ะค่ะ กด *456 แล้ว มันเข้าบัญชีทรูมันนี่ ,enquire,truemoney
เติมเงินแล้วมันไม่เข้า,enquire,payment
เติมเงินแล้วมันไม่เข้า,enquire,payment
เติมเงินแล้วมันไม่เข้าค่ะ,enquire,payment
เติมเงินแล้วมันหายไปไม่รู้ว่ามันส่งsmsอะไรรึเปล่าเช็คให้หน่อยครับ,enquire,payment
เติมเงินแล้วมีปัญหาค่ะ เค้าแจ้งให้ติดต่อที่ 1331 ค่ะ,enquire,payment
